hhh_gender...1,hhh_age,monthly_spending...3,any_drops,hhh_literacy...5,age,gender,hhid,group,benef,group1,group_tvn,maths_results,maths_results_s...14,any_drops_n...15,female,est_num_kids,f4,school_spending
1,40,9.999641532,1,2,3789.416667,2,A350008,1,1,2,2,5,-0.237902886,0.143133648,FALSE,3,4,1190
1,40,9.999641532,0,2,5491.458333,1,A350008,1,1,2,2,5,-0.237902886,-6.985372839,FALSE,3,4,1190
1,40,9.999641532,1,2,2262.416667,1,A350008,1,1,2,2,5,-0.237902886,0.143133648,FALSE,3,4,1190
1,40,9.999641532,1,2,4789.458333,2,A350008,1,1,2,2,5,-0.237902886,0.143133648,FALSE,3,4,1190
1,34,9.947299359,1,2,4936.416667,2,A352006,1,1,3,3,5,-0.237902886,0.143133648,FALSE,3,4,1000
1,34,9.947299359,1,2,4007.458333,2,A352006,1,1,3,3,5,-0.237902886,0.143133648,FALSE,3,4,1000
1,54,10.00755795,1,2,4998.416667,2,A352007,1,1,3,3,6,0.858325047,0.143133648,FALSE,2,2,470
1,47,10.24819112,1,2,3417.416667,2,A352008,1,1,3,3,6,0.858325047,0.143133648,FALSE,2,3,510
1,47,10.24819112,1,2,2432.416667,1,A352008,1,1,3,3,6,0.858325047,0.143133648,FALSE,2,3,510
1,45,10.1497336,1,2,3574.458333,1,A353001,1,1,3,3,6,0.858325047,0.143133648,FALSE,2,4,830
1,45,10.1497336,0,2,4420.458333,2,A353001,1,1,3,3,6,0.858325047,-6.985372839,FALSE,2,4,830
1,45,10.1497336,1,2,5045.458333,1,A353001,1,1,3,3,6,0.858325047,0.143133648,FALSE,2,4,830
1,45,10.1497336,1,2,2794.416667,1,A353001,1,1,3,3,6,0.858325047,0.143133648,FALSE,2,4,830
1,56,11.03346007,1,2,3005.416667,2,A353004,1,1,3,3,6,0.858325047,0.143133648,FALSE,3,4,850
1,56,11.03346007,1,2,3945.458333,2,A353004,1,1,3,3,6,0.858325047,0.143133648,FALSE,3,4,850
1,40,10.04048169,1,2,3347.458333,2,A353005,1,1,3,3,4,-1.334130819,0.143133648,FALSE,2,2,420
1,40,9.776262762,1,2,2385.416667,2,A354001,1,1,2,2,5,-0.237902886,0.143133648,FALSE,5,3,1200
1,40,9.776262762,1,2,4034.458333,2,A354001,1,1,2,2,5,-0.237902886,0.143133648,FALSE,5,3,1200
1,40,9.776262762,1,2,4649.416667,2,A354001,1,1,2,2,5,-0.237902886,0.143133648,FALSE,5,3,1200
1,40,9.776262762,1,2,3250.458333,1,A354001,1,1,2,2,5,-0.237902886,0.143133648,FALSE,5,3,1200
1,42,9.698823975,1,1,3864.416667,2,A354004,1,1,2,2,4,-1.334130819,0.143133648,FALSE,3,2,550
